ICD9Code,Alternate Code,ICD10Code,Invalid Gender,Concept Name
1759,175.9,C50.322,F,Mal neo male breast NEC
1759,175.9,C50.429,F,Mal neo male breast NEC
1759,175.9,C50.421,F,Mal neo male breast NEC
1759,175.9,C50.422,F,Mal neo male breast NEC
1759,175.9,C50.529,F,Mal neo male breast NEC
1759,175.9,C50.521,F,Mal neo male breast NEC
1759,175.9,C50.522,F,Mal neo male breast NEC
1759,175.9,C50.629,F,Mal neo male breast NEC
1759,175.9,C50.621,F,Mal neo male breast NEC
1759,175.9,C50.622,F,Mal neo male breast NEC
1759,175.9,C50.829,F,Mal neo male breast NEC
1759,175.9,C50.821,F,Mal neo male breast NEC
1759,175.9,C50.822,F,Mal neo male breast NEC
1759,175.9,C50.929,F,Mal neo male breast NEC
1759,175.9,C50.921,F,Mal neo male breast NEC
1759,175.9,C50.922,F,Mal neo male breast NEC
1800,180.0,C53.0,M,Malig neo endocervix
1801,180.1,C53.1,M,Malig neo exocervix
1808,180.8,C53.8,M,Malig neo cervix NEC
1809,180.9,C53.9,M,Mal neo cervix uteri NOS
1820,182.0,C54.1,M,Malig neo corpus uteri
1820,182.0,C54.2,M,Malig neo corpus uteri
1820,182.0,C54.3,M,Malig neo corpus uteri
1820,182.0,C54.9,M,Malig neo corpus uteri
1821,182.1,C54.0,M,Mal neo uterine isthmus
1828,182.8,C54.8,M,Mal neo body uterus NEC
1830,183.0,C56.1,M,Malign neopl ovary
1830,183.0,C56.2,M,Malign neopl ovary
1830,183.0,C56.9,M,Malign neopl ovary
1832,183.2,C57.00,M,Mal neo fallopian tube
1832,183.2,C57.01,M,Mal neo fallopian tube
1832,183.2,C57.02,M,Mal neo fallopian tube
1833,183.3,C57.10,M,Mal neo broad ligament
1833,183.3,C57.11,M,Mal neo broad ligament
1833,183.3,C57.12,M,Mal neo broad ligament
1834,183.4,C57.3,M,Malig neo parametrium
1835,183.5,C57.20,M,Mal neo round ligament
1835,183.5,C57.21,M,Mal neo round ligament
1835,183.5,C57.22,M,Mal neo round ligament
1838,183.8,C57.4,M,Mal neo adnexa NEC
1839,183.9,C57.4,M,Mal neo adnexa NOS
1840,184.0,C52,M,Malign neopl vagina
1841,184.1,C51.0,M,Mal neo labia majora
1842,184.2,C51.1,M,Mal neo labia minora
1843,184.3,C51.2,M,Malign neopl clitoris
1844,184.4,C51.9,M,Malign neopl vulva NOS
1848,184.8,C57.7,M,Mal neo female genit NEC
1848,184.8,C57.8,M,Mal neo female genit NEC
1848,184.8,C51.8,M,Mal neo female genit NEC
1849,184.9,C57.9,M,Mal neo female genit NOS
1860,186.0,C62.00,F,Mal neo undescend testis
1860,186.0,C62.01,F,Mal neo undescend testis
1860,186.0,C62.02,F,Mal neo undescend testis
1869,186.9,C62.10,F,Malig neo testis NEC
1869,186.9,C62.90,F,Malig neo testis NEC
1869,186.9,C62.11,F,Malig neo testis NEC
1869,186.9,C62.12,F,Malig neo testis NEC
1869,186.9,C62.91,F,Malig neo testis NEC
1869,186.9,C62.92,F,Malig neo testis NEC
1871,187.1,C60.0,F,Malign neopl prepuce
1872,187.2,C60.1,F,Malig neo glans penis
1873,187.3,C60.2,F,Malig neo penis body
1874,187.4,C60.9,F,Malig neo penis NOS
1875,187.5,C63.00,F,Malig neo epididymis
1875,187.5,C63.01,F,Malig neo epididymis
1875,187.5,C63.02,F,Malig neo epididymis
1876,187.6,C63.10,F,Mal neo spermatic cord
1876,187.6,C63.11,F,Mal neo spermatic cord
1876,187.6,C63.12,F,Mal neo spermatic cord
1877,187.7,C63.2,F,Malign neopl scrotum
1878,187.8,C60.8,F,Mal neo male genital NEC
1878,187.8,C63.7,F,Mal neo male genital NEC
1878,187.8,C63.8,F,Mal neo male genital NEC
1879,187.9,C63.9,F,Mal neo male genital NOS
1986,198.6,C79.60,M,Second malig neo ovary
1986,198.6,C79.61,M,Second malig neo ovary
1986,198.6,C79.62,M,Second malig neo ovary
2144,214.4,D17.6,F,Lipoma spermatic cord
2180,218.0,D25.0,M,Submucous leiomyoma
2181,218.1,D25.1,M,Intramural leiomyoma
2182,218.2,D25.2,M,Subserous leiomyoma
2189,218.9,D25.9,M,Uterine leiomyoma NOS
2190,219.0,D26.0,M,Benign neo cervix uteri
2191,219.1,D26.1,M,Benign neo corpus uteri
2198,219.8,D26.7,M,Benign neo uterus NEC
2199,219.9,D26.9,M,Benign neo uterus NOS
2210,221.0,D28.2,M,Ben neo fallopian tube
2211,221.1,D28.1,M,Benign neoplasm vagina
2212,221.2,D28.0,M,Benign neoplasm vulva
2218,221.8,D28.7,M,Ben neo fem genital NEC
2219,221.9,D28.9,M,Ben neo fem genital NOS
2220,222.0,D29.20,F,Benign neoplasm testis
2220,222.0,D29.21,F,Benign neoplasm testis
2220,222.0,D29.22,F,Benign neoplasm testis
2221,222.1,D29.0,F,Benign neoplasm penis
2222,222.2,D29.1,F,Benign neoplasm prostate
2223,222.3,D29.30,F,Benign neo epididymis
2223,222.3,D29.31,F,Benign neo epididymis
2223,222.3,D29.32,F,Benign neo epididymis
2224,222.4,D29.4,F,Benign neoplasm scrotum
2228,222.8,D29.8,F,Ben neo male genital NEC
2229,222.9,D29.9,F,Ben neo male genital NOS
2331,233.1,D06.9,M,Ca in situ cervix uteri
2331,233.1,D06.0,M,Ca in situ cervix uteri
2331,233.1,D06.1,M,Ca in situ cervix uteri
2331,233.1,D06.7,M,Ca in situ cervix uteri
2332,233.2,D07.0,M,Ca in situ uterus NEC
2334,233.4,D07.5,F,Ca in situ prostate
2335,233.5,D07.4,F,Ca in situ penis
2336,233.6,D07.60,F,Ca in situ male gen NEC
2336,233.6,D07.69,F,Ca in situ male gen NEC
2336,233.6,D07.61,F,Ca in situ male gen NEC
2360,236.0,D39.0,M,Uncert behav neo uterus
2361,236.1,D39.2,M,Unc behav neo placenta
2362,236.2,D39.10,M,Unc behav neo ovary
2362,236.2,D39.11,M,Unc behav neo ovary
2362,236.2,D39.12,M,Unc behav neo ovary
2363,236.3,D39.8,M,Unc behav neo female NEC
2363,236.3,D39.9,M,Unc behav neo female NEC
2364,236.4,D40.10,F,Unc behav neo testis
2364,236.4,D40.11,F,Unc behav neo testis
2364,236.4,D40.12,F,Unc behav neo testis
2365,236.5,D40.0,F,Unc behav neo prostate
2366,236.6,D40.8,F,Unc behav neo male NEC
2366,236.6,D40.9,F,Unc behav neo male NEC
2561,256.1,E28.1,M,Ovarian hyperfunc NEC
2561,256.1,N98.1,M,Ovarian hyperfunc NEC
2562,256.2,E89.40,M,Postablativ ovarian fail
2562,256.2,E89.41,M,Postablativ ovarian fail
2564,256.4,E28.2,M,Polycystic ovaries
2568,256.8,E28.8,M,Ovarian dysfunction NEC
2569,256.9,E28.9,M,Ovarian dysfunction NOS
2570,257.0,E29.0,F,Testicular hyperfunction
2571,257.1,E89.5,F,Postablat testic hypofun
2572,257.2,E29.1,F,Testicular hypofunc NEC
2578,257.8,E29.8,F,Testicular dysfunct NEC
2579,257.9,E29.9,F,Testicular dysfunct NOS
4564,456.4,I86.1,F,Scrotal varices
4566,456.6,I86.3,M,Vulval varices
05411,054.11,A60.04,M,Herpetic vulvovaginitis
05412,054.12,A60.04,M,Herpetic ulcer of vulva
05413,054.13,A60.01,F,Herpetic infect of penis
6003,600.3,N42.83,F,Cyst of prostate
6010,601.0,N41.0,F,Acute prostatitis
6011,601.1,N41.1,F,Chronic prostatitis
6012,601.2,N41.2,F,Abscess of prostate
6013,601.3,N41.3,F,Prostatocystitis
6014,601.4,N51,F,Prostatitis in oth dis
6014,601.4,A18.14,F,Prostatitis in oth dis
6018,601.8,N41.4,F,Prostatic inflam dis NEC
6018,601.8,N41.8,F,Prostatic inflam dis NEC
6019,601.9,N41.9,F,Prostatitis NOS
6020,602.0,N42.0,F,Calculus of prostate
6021,602.1,N42.1,F,Prostatic congest/hemorr
6022,602.2,N42.89,F,Atrophy of prostate
6023,602.3,N42.3,F,Dysplasia of prostate
6028,602.8,N42.89,F,Prostatic disorders NEC
6028,602.8,N42.81,F,Prostatic disorders NEC
6028,602.8,N42.82,F,Prostatic disorders NEC
6029,602.9,N42.9,F,Prostatic disorder NOS
6030,603.0,N43.0,F,Encysted hydrocele
6031,603.1,N43.1,F,Infected hydrocele
6038,603.8,N43.2,F,Hydrocele NEC
6039,603.9,N43.3,F,Hydrocele NOS
6040,604.0,N45.4,F,Orchitis with abscess
6060,606.0,N46.01,F,Azoospermia
6060,606.0,N46.021,F,Azoospermia
6060,606.0,N46.022,F,Azoospermia
6060,606.0,N46.023,F,Azoospermia
6060,606.0,N46.024,F,Azoospermia
6060,606.0,N46.025,F,Azoospermia
6061,606.1,N46.11,F,Oligospermia
6061,606.1,N46.121,F,Oligospermia
6061,606.1,N46.122,F,Oligospermia
6061,606.1,N46.123,F,Oligospermia
6061,606.1,N46.124,F,Oligospermia
6061,606.1,N46.125,F,Oligospermia
6061,606.1,N46.129,F,Oligospermia
6068,606.8,N46.029,F,Male infertility NEC
6068,606.8,N46.8,F,Male infertility NEC
6069,606.9,N46.9,F,Male infertility NOS
6070,607.0,N48.0,F,Leukoplakia of penis
6071,607.1,N47.6,F,Balanoposthitis
6071,607.1,N48.1,F,Balanoposthitis
6072,607.2,N48.29,F,"Inflam dis, penis NEC"
6072,607.2,N48.21,F,"Inflam dis, penis NEC"
6072,607.2,N48.22,F,"Inflam dis, penis NEC"
6073,607.3,N48.30,F,Priapism
6073,607.3,N48.31,F,Priapism
6073,607.3,N48.32,F,Priapism
6073,607.3,N48.33,F,Priapism
6073,607.3,N48.39,F,Priapism
6079,607.9,N48.9,F,Disorder of penis NOS
6080,608.0,N49.0,F,Seminal vesiculitis
6081,608.1,N43.40,F,Spermatocele
6081,608.1,N43.41,F,Spermatocele
6081,608.1,N43.42,F,Spermatocele
6083,608.3,N50.0,F,Atrophy of testis
6084,608.4,N49.9,F,Male gen inflam dis NEC
6084,608.4,N49.1,F,Male gen inflam dis NEC
6084,608.4,N49.2,F,Male gen inflam dis NEC
6084,608.4,N49.3,F,Male gen inflam dis NEC
6084,608.4,N49.8,F,Male gen inflam dis NEC
6089,608.9,N50.9,F,Male genital dis NOS
6089,608.9,R10.2,F,Male genital dis NOS
6140,614.0,N70.01,M,Ac salpingo-oophoritis
6140,614.0,N70.02,M,Ac salpingo-oophoritis
6140,614.0,N70.03,M,Ac salpingo-oophoritis
6141,614.1,N70.11,M,Chr salpingo-oophoritis
6141,614.1,N70.12,M,Chr salpingo-oophoritis
6141,614.1,N70.13,M,Chr salpingo-oophoritis
6142,614.2,N70.91,M,Salpingo-oophoritis NOS
6142,614.2,N70.92,M,Salpingo-oophoritis NOS
6142,614.2,N70.93,M,Salpingo-oophoritis NOS
6143,614.3,N73.0,M,Acute parametritis
6144,614.4,N73.1,M,Chronic parametritis
6144,614.4,N73.2,M,Chronic parametritis
6145,614.5,N73.3,M,Ac pelv peritonitis-fem
6146,614.6,N73.6,M,Fem pelvic periton adhes
6147,614.7,N73.4,M,Chr pelv periton NEC-fem
6148,614.8,N73.8,M,Fem pelv inflam dis NEC
6148,614.8,N74,M,Fem pelv inflam dis NEC
6149,614.9,N73.9,M,Fem pelv inflam dis NOS
6149,614.9,A56.11,M,Fem pelv inflam dis NOS
6149,614.9,N73.5,M,Fem pelv inflam dis NOS
6150,615.0,N71.0,M,Ac uterine inflammation
6151,615.1,N71.1,M,Chr uterine inflammation
6159,615.9,N71.9,M,Uterine inflam dis NOS
6160,616.0,N72,M,Cervicitis
6162,616.2,N75.0,M,Bartholin's gland cyst
6162,616.2,N75.8,M,Bartholin's gland cyst
6163,616.3,N75.1,M,Bartholin's glnd abscess
6164,616.4,N76.4,M,Abscess of vulva NEC
6169,616.9,N73.9,M,Female gen inflam NOS
6170,617.0,N80.0,M,Uterine endometriosis
6171,617.1,N80.1,M,Ovarian endometriosis
6172,617.2,N80.2,M,Tubal endometriosis
6173,617.3,N80.3,M,Pelv perit endometriosis
6174,617.4,N80.4,M,Vaginal endometriosis
6175,617.5,N80.5,M,Intestinal endometriosis
6176,617.6,N80.6,M,Endometriosis in scar
6178,617.8,N80.8,M,Endometriosis NEC
6179,617.9,N80.9,M,Endometriosis NOS
6181,618.1,N81.2,M,Uterine prolapse
6182,618.2,N81.2,M,Uterovag prolaps-incompl
6183,618.3,N81.3,M,Uterovag prolaps-complet
6184,618.4,N81.4,M,Utervaginal prolapse NOS
6185,618.5,N99.3,M,Postop vaginal prolapse
6186,618.6,N81.5,M,Vaginal enterocele
6187,618.7,N81.89,M,Old lacer pelvic muscle
6189,618.9,N81.9,M,Genital prolapse NOS
6190,619.0,N82.0,M,"Urin-genital fistul, fem"
6190,619.0,N82.1,M,"Urin-genital fistul, fem"
6191,619.1,N82.4,M,"Digest-genit fistul, fem"
6191,619.1,N82.2,M,"Digest-genit fistul, fem"
6191,619.1,N82.3,M,"Digest-genit fistul, fem"
6192,619.2,N82.5,M,"Genital-skin fistul, fem"
6198,619.8,N82.8,M,Fem genital fistula NEC
6199,619.9,N82.9,M,Fem genital fistula NOS
6200,620.0,N83.0,M,Follicular cyst of ovary
6201,620.1,N83.1,M,Corpus luteum cyst
6202,620.2,N83.20,M,Ovarian cyst NEC/NOS
6202,620.2,N83.29,M,Ovarian cyst NEC/NOS
6203,620.3,N83.33,M,Acq atrophy ovary & tube
6203,620.3,N83.31,M,Acq atrophy ovary & tube
6203,620.3,N83.32,M,Acq atrophy ovary & tube
6204,620.4,N83.4,M,Prolapse of ovary & tube
6205,620.5,N83.53,M,Torsion of ovary or tube
6205,620.5,N83.51,M,Torsion of ovary or tube
6205,620.5,N83.52,M,Torsion of ovary or tube
6206,620.6,N83.8,M,Broad ligament lacer syn
6207,620.7,N83.7,M,Broad ligament hematoma
6208,620.8,N83.8,M,Noninfl dis ova/adnx NEC
6208,620.8,N99.83,M,Noninfl dis ova/adnx NEC
6208,620.8,N83.6,M,Noninfl dis ova/adnx NEC
6209,620.9,N83.9,M,Noninfl dis ova/adnx NOS
6210,621.0,N84.0,M,Polyp of corpus uteri
6210,621.0,N84.8,M,Polyp of corpus uteri
6210,621.0,N84.9,M,Polyp of corpus uteri
6211,621.1,N85.3,M,Chr uterine subinvolutn
6212,621.2,N85.2,M,Hypertrophy of uterus
6214,621.4,N85.7,M,Hematometra
6215,621.5,N85.6,M,Intrauterine synechiae
6216,621.6,N85.4,M,Malposition of uterus
6217,621.7,N85.5,M,Chr inversion of uterus
6218,621.8,N85.8,M,Disorders of uterus NEC
6219,621.9,N85.9,M,Disorder of uterus NOS
6220,622.0,N86,M,Erosion/ectropion cervix
6222,622.2,N88.0,M,Leukoplakia of cervix
6223,622.3,N88.1,M,Old laceration of cervix
6224,622.4,N88.2,M,Stricture of cervix
6225,622.5,N88.3,M,Incompetence of cervix
6226,622.6,N88.4,M,Hypertrophic elong cervx
6227,622.7,N84.1,M,Mucous polyp of cervix
6228,622.8,N88.8,M,Noninflam dis cervix NEC
6229,622.9,N88.9,M,Noninflam dis cervix NOS
6230,623.0,N89.3,M,Dysplasia of vagina
6230,623.0,N89.0,M,Dysplasia of vagina
6230,623.0,N89.1,M,Dysplasia of vagina
6231,623.1,N89.4,M,Leukoplakia of vagina
6232,623.2,N89.5,M,Stricture of vagina
6232,623.2,N99.2,M,Stricture of vagina
6233,623.3,N89.6,M,Tight hymenal ring
6234,623.4,N89.8,M,Old vaginal laceration
6235,623.5,N89.8,M,Noninfect vag leukorrhea
6236,623.6,N89.8,M,Vaginal hematoma
6237,623.7,N84.2,M,Polyp of vagina
6238,623.8,N89.8,M,Noninflam dis vagina NEC
6239,623.9,N89.9,M,Noninflam dis vagina NOS
6241,624.1,N90.5,M,Atrophy of vulva
6242,624.2,N90.89,M,Hypertrophy of clitoris
6243,624.3,N90.6,M,Hypertrophy of labia
6244,624.4,N90.89,M,Old laceration of vulva
6245,624.5,N90.89,M,Hematoma of vulva
6246,624.6,N84.3,M,Polyp of labia and vulva
6248,624.8,N90.7,M,Noninflam dis vulva NEC
6248,624.8,N90.89,M,Noninflam dis vulva NEC
6248,624.8,N90.3,M,Noninflam dis vulva NEC
6249,624.9,N90.9,M,Noninflam dis vulva NOS
6250,625.0,N94.1,M,Dyspareunia
6251,625.1,N94.2,M,Vaginismus
6252,625.2,N94.0,M,Mittelschmerz
6253,625.3,N94.6,M,Dysmenorrhea
6253,625.3,N94.4,M,Dysmenorrhea
6253,625.3,N94.5,M,Dysmenorrhea
6254,625.4,N94.3,M,Premenstrual tension
6255,625.5,N94.89,M,Pelvic congestion synd
6256,625.6,N39.3,M,Fem stress incontinence
6258,625.8,N94.89,M,Fem genital symptoms NEC
6259,625.9,N94.89,M,Fem genital symptoms NOS
6259,625.9,R10.2,M,Fem genital symptoms NOS
6260,626.0,N91.2,M,Absence of menstruation
6260,626.0,N91.0,M,Absence of menstruation
6260,626.0,N91.1,M,Absence of menstruation
6261,626.1,N91.5,M,Scanty menstruation
6261,626.1,N91.3,M,Scanty menstruation
6261,626.1,N91.4,M,Scanty menstruation
6262,626.2,N92.0,M,Excessive menstruation
6263,626.3,N92.2,M,Pubertal menorrhagia
6264,626.4,N92.5,M,Irregular menstruation
6264,626.4,N92.6,M,Irregular menstruation
6265,626.5,N92.3,M,Ovulation bleeding
6266,626.6,N92.1,M,Metrorrhagia
6267,626.7,N93.0,M,Postcoital bleeding
6268,626.8,N92.5,M,Menstrual disorder NEC
6268,626.8,N93.8,M,Menstrual disorder NEC
6268,626.8,N89.7,M,Menstrual disorder NEC
6269,626.9,N92.6,M,Menstrual disorder NOS
6269,626.9,N93.9,M,Menstrual disorder NOS
6270,627.0,N92.4,M,Premenopause menorrhagia
6271,627.1,N95.0,M,Postmenopausal bleeding
6272,627.2,N95.1,M,Sympt fem climact state
6273,627.3,N95.2,M,Atrophic vaginitis
6274,627.4,N95.8,M,Sympt state w artif meno
6278,627.8,N95.8,M,Menopausal disorder NEC
6279,627.9,N95.9,M,Menopausal disorder NOS
6280,628.0,N97.0,M,Infertility-anovulation
6281,628.1,E23.0,M,Infertil-pituitary orig
6282,628.2,N97.1,M,Infertility-tubal origin
6283,628.3,N97.2,M,Infertility-uterine orig
6284,628.4,N97.8,M,Infertil-cervical orig
6288,628.8,N97.8,M,Female infertility NEC
6289,628.9,N97.9,M,Female infertility NOS
6290,629.0,N94.89,M,"Hematocele, female NEC"
6291,629.1,N94.89,M,Hydrocele canal nuck-fem
6299,629.9,N94.9,M,Female genital dis NOS
6380,638.0,O07.0,M,Attem abort w pelvic inf
6380,638.0,O07.37,M,Attem abort w pelvic inf
6381,638.1,O07.1,M,Attem abort w hemorrhage
6382,638.2,O07.34,M,Attem abort w pelv damag
6383,638.3,O07.32,M,Attem abort w renal fail
6384,638.4,O07.33,M,Attem abor w metabol dis
6385,638.5,O07.31,M,Attem abortion w shock
6386,638.6,O07.2,M,Attemp abort w embolism
6387,638.7,O07.35,M,Attemp abort w compl NEC
6387,638.7,O07.36,M,Attemp abort w compl NEC
6387,638.7,O07.38,M,Attemp abort w compl NEC
6387,638.7,O07.39,M,Attemp abort w compl NEC
6388,638.8,O07.30,M,Attemp abort w compl NOS
6389,638.9,O07.4,M,Attempted abort uncompl
6390,639.0,A34,M,Postabortion gu infect
6390,639.0,O08.0,M,Postabortion gu infect
6390,639.0,O08.82,M,Postabortion gu infect
6391,639.1,O08.1,M,Postabortion hemorrhage
6392,639.2,O08.6,M,Postabort pelvic damage
6393,639.3,O08.4,M,Postabort kidney failure
6394,639.4,O08.5,M,Postabort metabolic dis
6395,639.5,O08.3,M,Postabortion shock
6396,639.6,O08.2,M,Postabortion embolism
6398,639.8,O08.7,M,Postabortion compl NEC
6398,639.8,O08.81,M,Postabortion compl NEC
6398,639.8,O08.83,M,Postabortion compl NEC
6398,639.8,O08.89,M,Postabortion compl NEC
6399,639.9,O08.9,M,Postabortion compl NOS
7520,752.0,Q50.01,M,Anomalies of ovaries
7520,752.0,Q50.02 ,M,Anomalies of ovaries
7520,752.0,Q50.31,M,Anomalies of ovaries
7520,752.0,Q50.32,M,Anomalies of ovaries
7520,752.0,Q50.39,M,Anomalies of ovaries
7520,752.0,Q50.1,M,Anomalies of ovaries
7520,752.0,Q50.2,M,Anomalies of ovaries
7522,752.2,Q51.10,M,Doubling of uterus
7522,752.2,Q51.2,M,Doubling of uterus
7522,752.2,Q51.11,M,Doubling of uterus
7587,758.7,Q98.4,F,Klinefelter's syndrome
7587,758.7,Q98.0,F,Klinefelter's syndrome
7587,758.7,Q98.1,F,Klinefelter's syndrome
7587,758.7,Q98.3,F,Klinefelter's syndrome
7922,792.2,R86.9,F,Abn findings-semen
7922,792.2,R86.0,F,Abn findings-semen
7922,792.2,R86.1,F,Abn findings-semen
7922,792.2,R86.2,F,Abn findings-semen
7922,792.2,R86.3,F,Abn findings-semen
7922,792.2,R86.4,F,Abn findings-semen
7922,792.2,R86.5,F,Abn findings-semen
7922,792.2,R86.6,F,Abn findings-semen
7922,792.2,R86.7,F,Abn findings-semen
7922,792.2,R86.8,F,Abn findings-semen
7923,792.3,O28.9,M,Abn find-amniotic fluid
7965,796.5,O28.9,M,Abn find antenatl screen
7965,796.5,O28.0,M,Abn find antenatl screen
7965,796.5,O28.1,M,Abn find antenatl screen
7965,796.5,O28.2,M,Abn find antenatl screen
7965,796.5,O28.3,M,Abn find antenatl screen
7965,796.5,O28.4,M,Abn find antenatl screen
7965,796.5,O28.5,M,Abn find antenatl screen
7965,796.5,O28.8,M,Abn find antenatl screen
8674,867.4,S37.60XA,M,Uterus injury-closed
8674,867.4,S37.62XA,M,Uterus injury-closed
8674,867.4,S37.63XA,M,Uterus injury-closed
8674,867.4,S37.69XA,M,Uterus injury-closed
8675,867.5,S37.60XA,M,Uterus injury-open
8675,867.5,S31.001A,M,Uterus injury-open
8780,878.0,S31.20XA,F,Open wound of penis
8780,878.0,S38.221A,F,Open wound of penis
8780,878.0,S38.222A,F,Open wound of penis
8780,878.0,S31.21XA,F,Open wound of penis
8780,878.0,S31.23XA,F,Open wound of penis
8780,878.0,S31.25XA,F,Open wound of penis
8781,878.1,S31.22XA,F,Open wound penis-compl
8781,878.1,S31.24XA,F,Open wound penis-compl
8782,878.2,S31.30XA,F,Opn wound scrotum/testes
8782,878.2,S31.31XA,F,Opn wound scrotum/testes
8782,878.2,S31.33XA,F,Opn wound scrotum/testes
8782,878.2,S31.35XA,F,Opn wound scrotum/testes
8782,878.2,S38.231A,F,Opn wound scrotum/testes
8782,878.2,S38.232A,F,Opn wound scrotum/testes
8783,878.3,S31.32XA,F,Opn wnd scrot/test-compl
8783,878.3,S31.34XA,F,Opn wnd scrot/test-compl
8784,878.4,S31.40XA,M,Open wound of vulva
8784,878.4,S31.41XA,M,Open wound of vulva
8784,878.4,S31.43XA,M,Open wound of vulva
8784,878.4,S31.45XA,M,Open wound of vulva
8785,878.5,S31.42XA,M,Open wound vulva-compl
