ICD9 Code,Alternate Code,ICD10 Code,Valid Beginning Age,Valid End Age,Applicability
V301,V30.1,Z38.1,0,0,is only applicable to newborns of age 0 years
V302,V30.2,Z38.1,0,0,is only applicable to newborns of age 0 years
V3100,V31.00,Z38.30,0,0,is only applicable to newborns of age 0 years
V3100,V31.00,Z38.5,0,0,is only applicable to newborns of age 0 years
V3101,V31.01,Z38.31,0,0,is only applicable to newborns of age 0 years
V311,V31.1,Z38.4,0,0,is only applicable to newborns of age 0 years
V312,V31.2,Z38.4,0,0,is only applicable to newborns of age 0 years
V3200,V32.00,Z38.30,0,0,is only applicable to newborns of age 0 years
V3201,V32.01,Z38.31,0,0,is only applicable to newborns of age 0 years
V321,V32.1,Z38.4,0,0,is only applicable to newborns of age 0 years
V322,V32.2,Z38.4,0,0,is only applicable to newborns of age 0 years
V3300,V33.00,Z38.30,0,0,is only applicable to newborns of age 0 years
V3301,V33.01,Z38.31,0,0,is only applicable to newborns of age 0 years
V331,V33.1,Z38.4,0,0,is only applicable to newborns of age 0 years
V332,V33.2,Z38.4,0,0,is only applicable to newborns of age 0 years
V3400,V34.00,Z38.61,0,0,is only applicable to newborns of age 0 years
V3400,V34.00,Z38.63,0,0,is only applicable to newborns of age 0 years
V3400,V34.00,Z38.65,0,0,is only applicable to newborns of age 0 years
V3400,V34.00,Z38.68,0,0,is only applicable to newborns of age 0 years
V3400,V34.00,Z38.8,0,0,is only applicable to newborns of age 0 years
V3401,V34.01,Z38.69,0,0,is only applicable to newborns of age 0 years
V3401,V34.01,Z38.62,0,0,is only applicable to newborns of age 0 years
V3401,V34.01,Z38.64,0,0,is only applicable to newborns of age 0 years
V3401,V34.01,Z38.66,0,0,is only applicable to newborns of age 0 years
V341,V34.1,Z38.7,0,0,is only applicable to newborns of age 0 years
V342,V34.2,Z38.7,0,0,is only applicable to newborns of age 0 years
V3500,V35.00,Z38.68,0,0,is only applicable to newborns of age 0 years
V3500,V35.00,Z38.61,0,0,is only applicable to newborns of age 0 years
V3500,V35.00,Z38.63,0,0,is only applicable to newborns of age 0 years
V3500,V35.00,Z38.65,0,0,is only applicable to newborns of age 0 years
V3500,V35.00,Z38.8,0,0,is only applicable to newborns of age 0 years
V3501,V35.01,Z38.69,0,0,is only applicable to newborns of age 0 years
V3501,V35.01,Z38.62,0,0,is only applicable to newborns of age 0 years
V3501,V35.01,Z38.64,0,0,is only applicable to newborns of age 0 years
V3501,V35.01,Z38.66,0,0,is only applicable to newborns of age 0 years
V3501,V35.01,Z38.8,0,0,is only applicable to newborns of age 0 years
V351,V35.1,Z38.7,0,0,is only applicable to newborns of age 0 years
V352,V35.2,Z38.7,0,0,is only applicable to newborns of age 0 years
V3600,V36.00,Z38.68,0,0,is only applicable to newborns of age 0 years
V3600,V36.00,Z38.61,0,0,is only applicable to newborns of age 0 years
V3600,V36.00,Z38.63,0,0,is only applicable to newborns of age 0 years
V3600,V36.00,Z38.65,0,0,is only applicable to newborns of age 0 years
V3600,V36.00,Z38.8,0,0,is only applicable to newborns of age 0 years
V3601,V36.01,Z38.69,0,0,is only applicable to newborns of age 0 years
V3601,V36.01,Z38.62,0,0,is only applicable to newborns of age 0 years
V3601,V36.01,Z38.64,0,0,is only applicable to newborns of age 0 years
V3601,V36.01,Z38.66,0,0,is only applicable to newborns of age 0 years
V3601,V36.01,Z38.8,0,0,is only applicable to newborns of age 0 years
V361,V36.1,Z38.7,0,0,is only applicable to newborns of age 0 years
V362,V36.2,Z38.7,0,0,is only applicable to newborns of age 0 years
V3700,V37.00,Z38.68,0,0,is only applicable to newborns of age 0 years
V3700,V37.00,Z38.61,0,0,is only applicable to newborns of age 0 years
V3700,V37.00,Z38.63,0,0,is only applicable to newborns of age 0 years
V3700,V37.00,Z38.65,0,0,is only applicable to newborns of age 0 years
V3700,V37.00,Z38.8,0,0,is only applicable to newborns of age 0 years
V3701,V37.01,Z38.69,0,0,is only applicable to newborns of age 0 years
V3701,V37.01,Z38.62,0,0,is only applicable to newborns of age 0 years
V3701,V37.01,Z38.64,0,0,is only applicable to newborns of age 0 years
V3701,V37.01,Z38.66,0,0,is only applicable to newborns of age 0 years
V3701,V37.01,Z38.8,0,0,is only applicable to newborns of age 0 years
V371,V37.1,Z38.7,0,0,is only applicable to newborns of age 0 years
V372,V37.2,Z38.7,0,0,is only applicable to newborns of age 0 years
V3900,V39.00,Z38.00,0,0,is only applicable to newborns of age 0 years
V3900,V39.00,V38.2,0,0,is only applicable to newborns of age 0 years
V3901,V39.01,Z38.01,0,0,is only applicable to newborns of age 0 years
V391,V39.1,Z38.1,0,0,is only applicable to newborns of age 0 years
V392,V39.2,Z38.1,0,0,is only applicable to newborns of age 0 years
